event_object_schema,event_object_table,trigger_name,event_manipulation,action_timing,action_statement
public,brand_profiles,update_brand_profiles_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
public,client_settings,update_client_settings_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
public,client_webhooks,update_client_webhooks_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
public,clients,trigger_handle_new_client,INSERT,AFTER,EXECUTE FUNCTION handle_new_client()
public,clients,update_clients_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
public,discovered_companies,trg_set_discovered_companies_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION set_discovered_companies_updated_at()
public,leads,trg_create_company_from_lead,UPDATE,AFTER,EXECUTE FUNCTION trigger_create_company_from_lead()
realtime,subscription,tr_check_filters,INSERT,BEFORE,EXECUTE FUNCTION realtime.subscription_check_filters()
realtime,subscription,tr_check_filters,UPDATE,BEFORE,EXECUTE FUNCTION realtime.subscription_check_filters()
storage,buckets,enforce_bucket_name_length_trigger,UPDATE,BEFORE,EXECUTE FUNCTION storage.enforce_bucket_name_length()
storage,buckets,enforce_bucket_name_length_trigger,INSERT,BEFORE,EXECUTE FUNCTION storage.enforce_bucket_name_length()
storage,buckets,protect_buckets_delete,DELETE,BEFORE,EXECUTE FUNCTION storage.protect_delete()
storage,objects,protect_objects_delete,DELETE,BEFORE,EXECUTE FUNCTION storage.protect_delete()
storage,objects,update_objects_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION storage.update_updated_at_column()