schemaname,tablename,policyname,permissive,roles,operation,using_expression,with_check
public,activity_logs,Activity logs viewable by client members,PERMISSIVE,{public},SELECT,(client_id = client_id()),null
public,activity_logs,activity_logs_can_view_own,PERMISSIVE,{public},SELECT,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,activity_logs,activity_logs_insert,PERMISSIVE,{public},INSERT,null,((client_id = client_id()) OR (auth.role() = 'service_role'::text))
public,activity_logs,activity_logs_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,api_quota_counters,service_role_all_api_quota_counters,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,api_rate_limit,api_rate_limit_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,api_rate_limit,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,api_usage_logs,api_usage_logs_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,api_usage_logs,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,audit_logs,Audit logs viewable by client members,PERMISSIVE,{public},SELECT,(client_id = client_id()),null
public,audit_logs,audit_logs_can_view_own,PERMISSIVE,{public},SELECT,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,audit_logs,audit_logs_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,audit_logs,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,blacklist,blacklist_all,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,brand_discovery_sources,auth to all,PERMISSIVE,{authenticated},ALL,true,true
public,brand_discovery_sources,brand_discovery_sources_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,brand_discovery_sources,brand_discovery_sources_can_view_own,PERMISSIVE,{public},ALL,"((client_id = client_id()) OR (brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,brand_discovery_sources,brand_discovery_sources_delete_own,PERMISSIVE,{public},DELETE,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,brand_discovery_sources,brand_discovery_sources_insert_own,PERMISSIVE,{public},INSERT,null,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))"
public,brand_discovery_sources,brand_discovery_sources_select_own,PERMISSIVE,{public},SELECT,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,brand_discovery_sources,brand_discovery_sources_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,brand_discovery_sources,brand_discovery_sources_update_own,PERMISSIVE,{public},UPDATE,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,brand_intents,Service role can manage brand_intents,PERMISSIVE,{public},ALL,true,true
public,brand_profiles,Brand profiles are viewable by client members,PERMISSIVE,{public},ALL,(client_id = client_id()),null
public,brand_profiles,Users can access their client brands,PERMISSIVE,{public},ALL,"(client_id IN ( SELECT client_members.client_id
   FROM client_members
  WHERE (client_members.user_id = auth.uid())))",null
public,brand_profiles,brand_profiles_can_view_own,PERMISSIVE,{public},ALL,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,brand_profiles,brand_profiles_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,brand_profiles,service role full access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,brand_profiles_backup,service_role_all_brand_profiles_backup,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,campaign_analytics,campaign_analytics_can_view_own,PERMISSIVE,{public},ALL,"((brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,campaign_analytics,campaign_analytics_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,circuit_breaker_state,circuit_breaker_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,circuit_breaker_state,circuit_breaker_select_own,PERMISSIVE,{public},SELECT,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,circuit_breaker_state,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,client_api_keys,client_api_keys_can_view_own,PERMISSIVE,{public},ALL,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,client_api_keys,client_api_keys_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,client_api_keys,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,client_daily_send,client_daily_send_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,client_daily_send,client_daily_send_can_view_own,PERMISSIVE,{public},SELECT,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,client_daily_send,client_daily_send_select_own,PERMISSIVE,{public},SELECT,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,client_daily_send,client_daily_send_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,client_daily_send,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,client_hourly_send,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,client_members,Members can insert own client members,PERMISSIVE,{public},INSERT,null,"((client_id = client_id()) OR (EXISTS ( SELECT 1
   FROM client_members cm
  WHERE ((cm.client_id = client_members.client_id) AND (cm.user_id = auth.uid()) AND (cm.role = ANY (ARRAY['owner'::text, 'admin'::text]))))))"
public,client_members,Members can update own client members,PERMISSIVE,{public},UPDATE,"((client_id = client_id()) OR (EXISTS ( SELECT 1
   FROM client_members cm
  WHERE ((cm.client_id = client_members.client_id) AND (cm.user_id = auth.uid()) AND (cm.role = ANY (ARRAY['owner'::text, 'admin'::text]))))))",null
public,client_members,Members can view own client,PERMISSIVE,{public},SELECT,((client_id = client_id()) OR (user_id = auth.uid())),null
public,client_members,client_members_can_insert,PERMISSIVE,{public},INSERT,null,((client_id = client_id()) OR (auth.role() = 'service_role'::text))
public,client_members,client_members_can_update,PERMISSIVE,{public},UPDATE,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,client_members,client_members_can_view_own,PERMISSIVE,{public},SELECT,((client_id = client_id()) OR (user_id = auth.uid())),null
public,client_members,client_members_select_own,PERMISSIVE,{public},SELECT,((user_id = auth.uid()) OR (email = (auth.jwt() ->> 'email'::text)) OR (auth.role() = 'service_role'::text)),null
public,client_members,client_members_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,client_members,client_members_update_own,PERMISSIVE,{public},UPDATE,(auth.role() = 'service_role'::text),null
public,client_settings,client_settings_can_view_own,PERMISSIVE,{public},ALL,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,client_settings,client_settings_insert_own,PERMISSIVE,{public},INSERT,null,"((client_id IN ( SELECT client_members.client_id
   FROM client_members
  WHERE (client_members.user_id = auth.uid()))) OR (auth.role() = 'service_role'::text))"
public,client_settings,client_settings_select_own,PERMISSIVE,{public},SELECT,"((client_id IN ( SELECT client_members.client_id
   FROM client_members
  WHERE (client_members.user_id = auth.uid()))) OR (auth.role() = 'service_role'::text))",null
public,client_settings,client_settings_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,client_settings,client_settings_update_own,PERMISSIVE,{public},UPDATE,"((client_id IN ( SELECT client_members.client_id
   FROM client_members
  WHERE (client_members.user_id = auth.uid()))) OR (auth.role() = 'service_role'::text))",null
public,client_webhooks,client_webhooks_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,client_webhooks,client_webhooks_can_view_own,PERMISSIVE,{public},ALL,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,client_webhooks,client_webhooks_delete_own,PERMISSIVE,{public},DELETE,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,client_webhooks,client_webhooks_insert_own,PERMISSIVE,{public},INSERT,null,((client_id = client_id()) OR (auth.role() = 'service_role'::text))
public,client_webhooks,client_webhooks_select_own,PERMISSIVE,{public},SELECT,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,client_webhooks,client_webhooks_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,client_webhooks,client_webhooks_update_own,PERMISSIVE,{public},UPDATE,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,client_webhooks,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,clients,Clients can view own client,PERMISSIVE,{public},SELECT,(id = client_id()),null
public,clients,clients_can_view_own,PERMISSIVE,{public},SELECT,(id = client_id()),null
public,clients,clients_select_own,PERMISSIVE,{public},SELECT,((id = auth.uid()) OR (owner_email = (auth.jwt() ->> 'email'::text)) OR (auth.role() = 'service_role'::text)),null
public,clients,clients_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,companies,Companies are viewable by client members,PERMISSIVE,{public},ALL,(client_id = client_id()),null
public,companies,companies_can_view_own,PERMISSIVE,{public},ALL,"((client_id = client_id()) OR (brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,companies,companies_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,companies,service role full access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),(auth.role() = 'service_role'::text)
public,daily_send_limits,service_role_all_daily_send_limits,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,daily_send_tracker,service_role_all_daily_send_tracker,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,dead_letter_queue,dead_letter_queue_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,dead_letter_queue,dead_letter_queue_can_view_own,PERMISSIVE,{public},ALL,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,dead_letter_queue,dead_letter_queue_select_own,PERMISSIVE,{public},SELECT,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,dead_letter_queue,dead_letter_queue_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,dead_letters,service_role_all_dead_letters,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,discovered_companies,discovered_companies_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,discovered_companies,discovered_companies_can_view_own,PERMISSIVE,{public},ALL,"((client_id = client_id()) OR (brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,discovered_companies,discovered_companies_insert_own,PERMISSIVE,{public},INSERT,null,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))"
public,discovered_companies,discovered_companies_select_own,PERMISSIVE,{public},SELECT,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,discovered_companies,discovered_companies_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,discovered_companies,discovered_companies_update_own,PERMISSIVE,{public},UPDATE,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,discovered_contacts,discovered_contacts_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,discovered_contacts,discovered_contacts_can_view_own,PERMISSIVE,{public},ALL,"((client_id = client_id()) OR (brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,discovered_contacts,discovered_contacts_insert_own,PERMISSIVE,{public},INSERT,null,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))"
public,discovered_contacts,discovered_contacts_select_own,PERMISSIVE,{public},SELECT,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,discovered_contacts,discovered_contacts_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,discovered_contacts,discovered_contacts_update_own,PERMISSIVE,{public},UPDATE,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,discovery_dead_letters,service_role_all_discovery_dead_letters,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,discovery_metrics,service_role_all_discovery_metrics,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,discovery_sources,service_role_all_discovery_sources,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,edge_function_secrets,service_role_all_edge_function_secrets,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,email_events,email_events_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,email_events,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,enrichment_metrics,service_role_all_enrichment_metrics,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,inbound_events,service_role_all_inbound_events,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,inbound_message_claims,service_role_all_inbound_message_claims,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,lead_company_map,service_role_all_lead_company_map,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,lead_import_batches,service_role_all_lead_import_batches,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,leads,Leads are viewable by client members,PERMISSIVE,{public},ALL,(client_id = client_id()),null
public,leads,leads_can_view_own,PERMISSIVE,{public},ALL,"((client_id = client_id()) OR (brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,leads,leads_delete_own,PERMISSIVE,{public},DELETE,"((client_id IN ( SELECT client_members.client_id
   FROM client_members
  WHERE (client_members.user_id = auth.uid()))) OR (auth.role() = 'service_role'::text))",null
public,leads,leads_insert_own,PERMISSIVE,{public},INSERT,null,"((client_id IN ( SELECT client_members.client_id
   FROM client_members
  WHERE (client_members.user_id = auth.uid()))) OR (auth.role() = 'service_role'::text))"
public,leads,leads_select_own,PERMISSIVE,{public},SELECT,"((client_id IN ( SELECT client_members.client_id
   FROM client_members
  WHERE (client_members.user_id = auth.uid()))) OR (auth.role() = 'service_role'::text))",null
public,leads,leads_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,leads,leads_update_own,PERMISSIVE,{public},UPDATE,"((client_id IN ( SELECT client_members.client_id
   FROM client_members
  WHERE (client_members.user_id = auth.uid()))) OR (auth.role() = 'service_role'::text))",null
public,messages,service_role_all_messages,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,negotiation_drafts,service_role_all_negotiation_drafts,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,notification_preferences,Users can manage own notifications,PERMISSIVE,{public},ALL,(user_id = auth.uid()),null
public,notification_preferences,notification_preferences_own_user,PERMISSIVE,{public},ALL,(user_id = auth.uid()),null
public,opportunities,Service role can manage opportunities,PERMISSIVE,{public},ALL,true,true
public,outbound_events,service_role_all_outbound_events,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,outreach,service_role_all_outreach,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,qualification,service_role_all_qualification,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,replies,replies_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,replies,replies_can_view_own,PERMISSIVE,{public},ALL,"((client_id = client_id()) OR (brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,replies,replies_insert_own,PERMISSIVE,{public},INSERT,null,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))"
public,replies,replies_select_own,PERMISSIVE,{public},SELECT,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,replies,replies_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,replies,replies_update_own,PERMISSIVE,{public},UPDATE,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,research,service_role_all_research,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,scoring_versions,service_role_all_scoring_versions,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,send_counters,send_counters_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,send_counters,send_counters_can_view_own,PERMISSIVE,{public},SELECT,"((brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,send_counters,send_counters_select_own,PERMISSIVE,{public},SELECT,"((brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,send_counters,send_counters_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,sending_domains,service_role_all_sending_domains,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,sent_messages,sent_messages_can_view_own,PERMISSIVE,{public},ALL,"((client_id = client_id()) OR (brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,sent_messages,sent_messages_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,sent_messages,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,signal_performance,service_role_all_signal_performance,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,signal_source_performance,service_role_all_signal_source_performance,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,suppression_list,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,suppression_list,suppression_list_all,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,system_flags,service_role_all_system_flags,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,system_flags,system_flags_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),null
public,system_health,service_role_all_system_health,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,webhook_deliveries,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,webhook_deliveries,webhook_deliveries_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null